year,no_of_movies
1919,3
1920,2
1921,1
1922,2
1923,3
1925,6
1926,8
1927,6
1928,3
1929,3
1930,7
1931,7
1932,7
1933,7
1934,7
1935,6
1936,8
1937,11
1938,6
1939,11
1940,19
1941,11
1942,13
1943,10
1944,13
1945,11
1946,13
1947,14
1948,12
1949,10
1950,14
1951,12
1952,11
1953,14
1954,15
1955,19
1956,19
1957,20
1958,22
1959,22
1960,15
1961,19
1962,20
1963,25
1964,16
1965,20
1966,12
1967,24
1968,22
1969,18
1970,16
1971,26
1972,22
1973,29
1974,28
1975,21
1976,21
1977,22
1978,30
1979,32
1980,41
1981,43
1982,50
1983,35
1984,60
1985,65
1986,104
1987,71
1988,69
1989,60
1990,77
1991,60
1992,102
1993,165
1994,257
1995,342
1996,345
1997,315
1998,337
1999,283
2000,156
